"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","67/KOL/2008","09/01/2008","POST-STERILIZATION PROGRAMMING OF SURGICAL INSTRUMENTS","BIOMEDICAL","57","10","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","670/KOL/2005","26/07/2005","TITANIUM ALUMINIDE WHEEL AND STEEL SHAFT CONNECTION THERETO","MECHANICAL","18","14","19/04/2023"
"14/2017","07/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","680/MUMNP/2009","08/04/2009","NOZZLE ASSEMBLY FOR INJECTOR","MECHANICAL","41","28","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6801/DELNP/2009","23/10/2009","""TRIM STRIP.""","MECHANICAL","12","9","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6868/CHENP/2008","15/12/2008","SEARCH EARLY WARNING","ELECTRONICS","24","38","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6879/CHENP/2010","26/10/2010","""VACCINE COMPOSITION COMPRISING AN AVIAN ASTROVIRUS""","BIOTECHNOLOGY","58","15","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6893/DELNP/2010","30/09/2010","""ENGINE LUBRICANTS""","CHEMISTRY","19","18","19/04/2023"
"14/2017","07/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","690/MUMNP/2008","09/04/2008","BLEACHING OF SUBSTRATES","CHEMISTRY","23","12","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","691/KOLNP/2008","15/02/2008","COMMUNICATING MASSAGE IN MOBILE COMMUNICATION SYSTEM","ELECTRONICS","49","46","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6971/CHENP/2010","28/10/2010","SYSTEM AND METHOD TO ENABLE RESOURCE PARTITIONING IN WIRELESS NETWORKS","ELECTRONICS","67","70","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6978/DELNP/2011","13/09/2011","""ELECTRIC RESISTANCE WELDED STEEL PIPE HAVING EXCELLENT WORKABILITY AND EXCELLENT POST - QUENCHING FATIGUE PROPERTIES""","METALLURGY","28","5","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7002/DELNP/2006","22/11/2006","""ARRANGEMENT FOR PROVIDING NETWORK PREFIX INFORMATION FROM ATTACHED MOBILE ROUTERS TO A CLUSTERHEAD IN A TEREE-BASED AD HOC MOBILE NETWORK""","ELECTRONICS","39","46","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7034/CHENP/2008","19/12/2008","NEW CARBONYLATED (AZA)CYCLOHEXANES AS DOPAMINE D3 RECEPTOR LIGANDS","CHEMISTRY","264","32","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7087/CHENP/2009","02/12/2009","METHOD FOR PRODUCING AN AQUEOUS COMPOSITE PARTICLE DISPERSION","POLYMER","30","15","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7123/DELNP/2009","04/11/2009","""TWO-STEP TEMPERATURE PROFILE FOR THE PROPAGATION OF VIRUSES""","BIOTECHNOLOGY","35","24","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7149/DELNP/2008","21/08/2008","MOORING LINE","TEXTILE","13","16","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7369/DELNP/2009","13/11/2009","""EMISSION ABATEMENT ASSEMBLY HAVING A MIXING BAFFLE AND ASSOCIATED METHOD""","MECHANICAL","18","12","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","738/DELNP/2010","02/02/2010","""CYCLOHEXENE DERIVATIVES AND THEIR USE AS ODORANTS""","CHEMISTRY","49","18","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7382/DELNP/2006","06/12/2006","""OPERATING A THREE PHASE DEVICE USING SINGLE PHASE POWER""","ELECTRICAL","17","15","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","74/KOL/2009","14/01/2009","TORQUE DISTRIBUTION SYSTEM FOR A VEHICLE","MECHANICAL","20","13","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","76/KOL/2009","14/01/2009","METAL BEAD SEAL FOR FUEL CELL PLATE","ELECTRICAL","26","20","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7603/CHENP/2010","25/11/2010","PHARMACEUTICAL COMPOSITION COMPRISING RECOMBINANT HUMAN GROWTH HORMONE PEGYLATED PRODRUG CONJUGATE","CHEMISTRY","134","37","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7618/DELNP/2009","24/11/2009","""STABILIZATION OF POLYCARBONATES AND POLYCARBONATE BLENDS""","CHEMISTRY","33","11","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7635/CHENP/2010","26/11/2010","METHOD FOR THE SULFONYLATION OF A HYDROXYLATED ORGANIC COMPOUND","CHEMISTRY","24","24","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7638/DELNP/2009","24/11/2009","""VARIABLE SPEED COOLING COMPRESSOR WITH SPIRALS""","MECHANICAL","32","20","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7671/DELNP/2008","10/09/2008","“VARIABLE-CENTRELINE TYRE BUILDING DRUM”","MECHANICAL","21","20","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7689/DELNP/2007","08/10/2007","""STABILITY OLED MATERIALS AND DEVICES WITH IMPROVED STABILITY""","CHEMISTRY","195","174","19/04/2023"
"14/2017","07/04/2017","Delhi","ORDINARY APPLICATION","77/DEL/2009","16/01/2009","""AN IMPROVED PROCESS FOR THE PREPARATION OF A KEY INTERMEDIATE OF CEPHEM COMPOUNDS""","CHEMISTRY","15","10","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7712/DELNP/2009","26/11/2009","""FILLING DEVICE FOR CONTAINERS""","MECHANICAL","13","11","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7725/DELNP/2008","12/09/2008","""IMPROVED SLEEVE BEARING FOR RAILWAY TRACTION MOTOR""","MECHANICAL","34","20","19/04/2023"
"14/2017","07/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","783/MUMNP/2011","20/04/2011","“RIBBON CRYSTAL END STRING WITH MULTIPLE INDIVIDUAL STRINGS”","CHEMISTRY","28","17","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","789/DELNP/2010","06/02/2010","WATER PURIFICATION SYSTEM","MECHANICAL","41","3","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7894/DELNP/2010","09/11/2010","""LYOPHILIZED DNA FORMULATIONS FOR ENHANCED EXPRESSION OF PLASMID DNA""","BIOTECHNOLOGY","70","20","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8043/DELNP/2011","18/10/2011","BIOLOGICAL SPECIMEN COLLECTION/TRANSPORT COMPOSITIONS AND METHODS","BIOTECHNOLOGY","132","22","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","806/KOL/2011","13/06/2011","TRANSMISSION OIL TEMPERATURE ESTIMATION SYSTEMS AND METHODS","ELECTRICAL","26","8","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8171/DELNP/2009","15/12/2009","""CONTRAST AGENTS""","MECHANICAL","56","19","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8235/DELNP/2007","25/10/2007","""A SCREEN ASSEMBLY FOR A VIBRATORY SEPARATOR""","CIVIL","15","24","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8240/DELNP/2009","16/12/2009","""AN EXPANSION VALVE WITH A DISTRIBUTOR""","MECHANICAL","39","23","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8366/DELNP/2009","21/12/2009","SHAFT FURNACE AND METHOD FOR OPERATING A FURNACE","METALLURGY","22","13","19/04/2023"
"14/2017","07/04/2017","Delhi","ORDINARY APPLICATION","838/DEL/2008","31/03/2008","NOVEL DONOR-ACCEPTOR FLUORENE SCAFFOLDS: A PROCESS AND USES THEREOF","CHEMISTRY","68","13","19/04/2023"
"14/2017","07/04/2017","Kolkata","ORDINARY APPLICATION","84/KOL/2007","24/01/2007","A NEW PROCESS FOR CONTINUOUS DISCHARGE OF SLABS FROM WALKING BEAM FURNACE OF PLATE MILL","METALLURGY","10","5","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","840/CHENP/2009","13/02/2009","METHOD AND APPARATUS FOR RECEIVING, STORING, AND PRESENTING MULTIMEIDA PROGRAMMING WITHOUT INDEXING PRIOR  TO STORAGE""","PHYSICS","29","23","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8427/DELNP/2011","31/10/2011","AROMATIC ALKYLATION PROCESS","CHEMISTRY","30","17","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8526/DELNP/2011","03/11/2011","""A BLUING COMPOSITION CONCENTRATE""","CHEMISTRY","25","18","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8738/DELNP/2008","17/10/2008","""CHEMICAL HEAT PUMP WORKING WITH A HYBRID SUBSTANCE""","MECHANICAL","27","15","19/04/2023"
"14/2017","07/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","8783/CHENP/2011","28/11/2011","A PHARMACEUTICAL COMPOSITION COMPRISING CENTHAQUIN","CHEMISTRY","100","33","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8797/DELNP/2008","20/10/2008","SLIT BANDED PAPER","MECHANICAL","23","25","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","885/KOLNP/2007","13/03/2007","""REFINEMENT OF CHANNEL RESPONSE CALCULATION""","ELECTRONICS","29","25","19/04/2023"
"14/2017","07/04/2017","Kolkata","CONVENTION APPLICATION","891/KOL/2008","14/05/2008","GRAIN OF LEGUME HAVING INCREASED CONTENT OF FUNCTIONAL COMPONENT AND A MANUFACTURING METHOD THEREOF","FOOD","64","12","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8910/DELNP/2008","22/10/2008","“SYSTEM AND METHOD FOR THE CALCINATION OF MINERALS”","METALLURGY","45","27","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9061/DELNP/2007","26/11/2007","""POLYAMIDE MOULDING COMPOUNDS WITH IMPROVED FLOWABILITY,PRODUCTION THEREOF AND USE THEREOF""","POLYMER","40","34","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9159/DELNP/2007","28/11/2007","""A LABEL HAVING A TEMPERATURE-MONITORING FUNCTION, A PACKAGE FOR GOODS PROVIDED WITH A LABEL, AS WELL AS A METHOD AND EQUIPMENT FOR THE APPICATION OF LABELS TO PACKAGES FOR GOODS""","PHYSICS","25","14","19/04/2023"
"14/2017","07/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","928/KOLNP/2010","12/03/2010","REFLECTION PLATE FOR OPTICAL ENCODER AND MANUFACTURING METHOD THEREOF, AND OPTICAL ENCODER","PHYSICS","53","17","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9304/DELNP/2007","03/12/2007","""A BEVERAGE DISPENSER""","MECHANICAL","11","16","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9309/DELNP/2008","06/11/2008","APPARATUS AND METHOD FOR EXPANDING THE EXIT PUPIL OF A
DISPLAY FOR VIEWING","PHYSICS","33","27","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9325/DELNP/2007","03/12/2007","""A CATALYST, A PROCESS FOR PREPARING THE CATALYST,AND A PROCESS FOR THE PRODUCTION OF AN OLEFIN OXIDE, A 1,2-DIOL, A 1,2-DIOL ETHER, OR AN ALKANOLAMINE""","CHEMISTRY","35","35","19/04/2023"
"14/2017","07/04/2017","Delhi","DIVISIONAL PCT NATIONAL PHASE APPLICATION","934/DELNP/2009","09/02/2009","""BYPRODUCT SLUDGE RECYCLING APPARATUS IN IRONMAKING SYSTEM""","METALLURGY","40","8","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9354/DELNP/2008","07/11/2008","MACHINE TOOL","MECHANICAL","44","40","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9381/DELNP/2010","31/12/2010","""METHOD AND DEVICE FOR THERMALLY AFTERBURNING EXHAUST AIR LOADED WITH OXIDIZABLE SUBSTANCES""","MECHANICAL","32","25","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9391/DELNP/2007","05/12/2007","SYSTEM FOR PROVIDING ALERT NOTIFICATIONS FOR A COMMUNICATION DEVICE","ELECTRONICS","20","26","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","948/DELNP/2008","04/02/2008","PROTECTING DIGITAL MEDIA OF VARIOUS CONTENT TYPES","COMPUTER","41","20","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","950/DELNP/2010","11/02/2010","A MULTI STAGE, CLAM SHELL VACUUM PUMP","MECHANICAL","22","14","19/04/2023"
"14/2017","07/04/2017","Chennai","CONVENTION APPLICATION","971/CHE/2011","28/03/2011","IMAGE FORMING APPARATUS","PHYSICS","66","9","19/04/2023"
"14/2017","07/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9765/DELNP/2007","17/12/2007","ATMOSPHERE MODEL","PHYSICS","24","19","19/04/2023"
"15/2017","14/04/2017","Delhi","CONVENTION APPLICATION","103/DEL/2007","17/01/2007","""DYNAMIC FLUID POWER MONITORING SYSTEM FOR SEPARATE ACTUATORS""","MECHANICAL","26","16","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","10511/DELNP/2008","19/12/2008","""ALLOY WITH HIGH GLASS FORMING ABILITY AND ALLOY-PLATED METAL MATERIAL USING SAME""","METALLURGY","62","15","19/04/2023"
"15/2017","14/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1104/KOLNP/2010","25/03/2010","MEHTOD AND APPARATUS FOR ENHANCED MINIMAL SHEAR MOLDING UTILIZING EXTRUSIONAL, PELLETIZATION, AND MELT RHEOLOGICAL CONTROL OF PELLETS AND MICROPELLETS AND MOLDED OBJECTS MADE THEREFROM","POLYMER","137","68","19/04/2023"
"15/2017","14/04/2017","Kolkata","CONVENTION APPLICATION","1158/KOL/2005","16/12/2005","RUBBER MIXTURES","POLYMER","36","7","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1215/CHENP/2010","03/03/2010","RADIATION CURABLE COMPOSITIONS FOR FOOD APPLICATIONS","CHEMISTRY","47","15","19/04/2023"
"15/2017","14/04/2017","Kolkata","CONVENTION APPLICATION","1230/KOL/2010","03/11/2010","PROTECTIVE DEVICE FOR VEHICLE LOCKING DEVICE , VEHICLE LOCKING MECHANISM, AND SADDLE-TYPE VEHICLE","MECHANICAL","56","9","19/04/2023"
"15/2017","14/04/2017","Delhi","CONVENTION APPLICATION","1254/DEL/2008","21/05/2008","""LAUNCH CONTROL OF A HYBRID ELECTRIC VEHICLE""","MECHANICAL","28","25","19/04/2023"
"15/2017","14/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1267/KOLNP/2010","09/04/2010","APPARATUS FOR RECLAMATION OF MOLDING SAND","MECHANICAL","17","6","19/04/2023"
"15/2017","14/04/2017","Delhi","ORDINARY APPLICATION","1397/DEL/2010","16/06/2010","NOVEL THIAZOLO [4,3-E] 1,2,4-TRIAZOLO [1,5-C] PYRIMIDINE AND THIAZOLO [4,3-E] 1,3-IMIDAZO [1,2-C] PYRIMIDINE DERIVATIVES AND PROCESS FOR PREPARATION THEREOF","POLYMER","21","11","19/04/2023"
"15/2017","14/04/2017","Delhi","CONVENTION APPLICATION","1429/DEL/2004","02/08/2004","""APPARATUS FOR TRANSVERSE CONVEYANCE OF REAMS""","MECHANICAL","20","18","19/04/2023"
"15/2017","14/04/2017","Delhi","ORDINARY APPLICATION","1448/DEL/2007","09/07/2007","""AN APPARATUS AND A METHOD FOR MAKING PACKAGES THEREOF""","MECHANICAL","25","17","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","148/CHENP/2008","09/01/2008","EXHAUST GAS DILUTION DEVICE","MECHANICAL","28","7","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1509/CHENP/2009","17/03/2009","PROCESS FOR THE MANUFACTURE OF AMINES BY HYDROGENATION OF NITRILE COMPOUNDS","CHEMISTRY","25","14","19/04/2023"
"15/2017","14/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1558/MUMNP/2009","19/08/2009","“EFFICIENT 2-D AND 3-D GRAPHICS PROCESSING”","COMPUTER","42","30","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1578/CHENP/2008","31/03/2008","MEDIA CONTENT DELIVERY AND RECORDING OVER BROADCAST NETWORK","COMPUTER","42","33","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1622/DELNP/2009","12/03/2009","""METHOD OF REHEATING IN A FURNACE USING A FUEL OF LOW CALORIFIC POWER, AND FURNACE USING THIS METHOD""","MECHANICAL","22","12","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1643/CHENP/2010","23/03/2010","METHOD FOR AUTHENTICATING MOBILE UNITS ATTACHED TO A FEMTOCELL THAT OPERATES ACCORDING TO CODE DIVISION MULTIPLE ACCESS","COMMUNICATION","21","9","19/04/2023"
"15/2017","14/04/2017","Chennai","ORDINARY APPLICATION","1668/CHE/2007","31/07/2007","A METHOD AND SYSTEM FOR AUTOMATIC GAIN CORRECTION FOR INVASIVE BLOOD PRESSURE MONITOR","COMPUTER","26","12","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1736/DELNP/2010","12/03/2010","""METHOD AND APPARATUS FOR DETERMINING FORMULATION OF COATING COMPOSITION FOR FORMING MULTICOLOR PATTERN HARMONIZING WITH SURROUNDING COLOR""","CHEMISTRY","45","9","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1864/CHENP/2009","02/04/2009","RANDOM PACKING ELEMENTS AND COLUMN CONTAINING SAME","CHEMISTRY","30","17","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1916/CHENP/2009","07/04/2009","FORMULATIONS COMPRISING CYCLIC COMPOUNDS","CHEMISTRY","87","42","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1943/CHENP/2008","21/04/2008","TERMINAL APPARATUS, BASE STATION APPARATUS, AND COMMUNICATION SYSTEM","ELECTRONICS","67","19","19/04/2023"
"15/2017","14/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","2036/MUMNP/2009","30/10/2009","“METHOD AND APPARATUS FOR ENCODING AND DECODING IMAGE USING MODIFICATION OF RESIDUAL BLOCK”","ELECTRONICS","23","21","19/04/2023"
"15/2017","14/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","2214/MUMNP/2010","18/10/2010","LOSS CORRECTION ENCODING DEVICE AND LOSS CORRECTION ENCODING METHOD","ELECTRONICS","179","5","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","2239/DELNP/2007","22/03/2007","""HYBRID VENTILATOR""","MECHANICAL","25","19","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","2280/DELNP/2009","08/04/2009","""PUMP TORQUE CONTROL SYSTEM FOR HYDRAULIC CONSTRUCTION MACHINE""","CIVIL","71","4","19/04/2023"
"15/2017","14/04/2017","Mumbai","ORDINARY APPLICATION","2281/MUM/2010","13/08/2010","PROCESS FOR THE PREPARATION OF 2-ARYL THIAZOLE DERIVATIVE","CHEMISTRY","14","9","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","2312/DELNP/2009","09/04/2009","“Novel Indolinone compounds ”","CHEMISTRY","109","22","19/04/2023"
"15/2017","14/04/2017","Chennai","ORDINARY APPLICATION","2365/CHE/2008","26/09/2008","NOVEL POLYMORPHS OF PERINDOPRIL (L)-LYSINE","CHEMISTRY","16","10","19/04/2023"
"15/2017","14/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","2378/KOLNP/2010","30/06/2010","AZOMETHINE DIRECT DYES OBTAINED FROM 2-AMINO-3- HYDROXYPYRIDINE","CHEMISTRY","38","16","19/04/2023"
"15/2017","14/04/2017","Chennai","ORDINARY APPLICATION","2386/CHE/2008","29/09/2008","HIGH VOLTAGE TAMPER DETECTION DEVICE FOR ENERGY METER","ELECTRONICS","30","10","19/04/2023"
"15/2017","14/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","2682/KOLNP/2010","21/07/2010","METHOD FOR MANUFACTURING COATING COMPOSITIONS","CHEMISTRY","35","23","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","284/DELNP/2008","10/01/2008","""A METHOD FOR DETERMINING   GATEROAD STRUCTURAL CHANGE IN A MINING OPERATION""","CIVIL","34","25","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","2942/DELNP/2010","27/04/2010","ERIOCITRIN-CONTAINING MATERIAL, METHOD FOR PRODUCTION OF THE ERIOCITRIN-CONTAINING MATERIAL, AND FOOD, BEVERAGE, PHARMACEUTICAL PREPARATION AND COSMETIC EACH COMPRISING THE ERIOCITRIN-CONTAINING MATERIAL","CHEMISTRY","34","15","19/04/2023"
"15/2017","14/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3052/KOLNP/2010","18/08/2010","LANCE HOLDER","METALLURGY","20","20","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3131/DELNP/2010","04/05/2010","AN APPARATUS AND METHOD FOR ONE-PHASE ACCESS IN A WIRELESS COMMUNICATION SYSTEM","ELECTRONICS","44","14","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","320/CHENP/2008","21/01/2008","IL-1B BINDING ANTIBODIES AND FRAGMENTS THEREOF","BIOTECHNOLOGY","115","66","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3272/DELNP/2007","01/05/2007","""A NEAR INFRARED ABSORBING FIBER""","MECHANICAL","50","15","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","39/DELNP/2010","04/01/2010","""AN APPARATUS WITH CONFIGURABLE DC-COUPLED OR AC-COUPLED OUTPUT""","ELECTRONICS","37","32","19/04/2023"
"15/2017","14/04/2017","Mumbai","ORDINARY APPLICATION","40/MUM/2007","08/01/2007","NOVEL  AGRICULTURAL COMPOSITION","CHEMISTRY","20","15","19/04/2023"
"15/2017","14/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4124/KOLNP/2007","26/10/2007","ESTABLISHING RADIO LINK CONTROL IN WIRELESS COMMUNICATION NETWORKS","ELECTRONICS","20","20","19/04/2023"
"15/2017","14/04/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4177/KOLNP/2009","02/12/2009","EXTERNAL DEVICE FOR CLEANING FILTRATION MATERIAL AND ADAPTED FOR APPLICATION TO FILTRATION DEVICE","MECHANICAL","30","4","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4552/CHENP/2008","28/08/2008","MANAGING PRESENCE INFORMATION USING A SINGLE REQUEST","COMPUTER","32","20","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5160/DELNP/2010","16/07/2010","REAGENTS AND METHODS FOR THE BETA-KETO AMIDE SYNTHESIS OF A SYNTHETIC PRECURSOR TO IMMUNOLOGICAL ADJUVANT E6020","CHEMISTRY","59","36","19/04/2023"
"15/2017","14/04/2017","Chennai","DIVISIONAL PCT NATIONAL PHASE APPLICATION","5199/CHENP/2008","26/09/2008","PICTURE CODING METHOD AND APPARATUS","COMPUTER","118","5","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5235/CHENP/2008","29/09/2008","A DEVICE FOR AND A METHOD OF PROCESSING DATA","PHYSICS","38","22","19/04/2023"
"15/2017","14/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","529/MUMNP/2010","17/03/2010","OPHTHALMIC AND OTORHINOLARYNGOLOGICAL DEVICE MATERIALS","BIOMEDICAL","43","20","19/04/2023"
"15/2017","14/04/2017","Kolkata","CONVENTION APPLICATION","546/KOL/2006","06/06/2006","PROCESS AND APPARATUS FOR SEPARATION OF HYDROCARBONS FROM LIQUEFIED NATURAL GAS","CHEMISTRY","35","6","19/04/2023"
"15/2017","14/04/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5465/DELNP/2008","24/06/2008","""A PROCESS FOR MAKING A POLYCABOXYLIC ACID COMPOSITION ""","CHEMISTRY","144","40","19/04/2023"
"15/2017","14/04/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5681/CHENP/2007","10/12/2007","PREVIEW MODE FOR CONTENT","COMPUTER","28","25","19/04/2023"
"15/2017","14/04/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","579/MUMNP/2009","24/03/2009","“MEMORY DEVICE WITH CONFIGURABLE DELAY TRACKING”","ELECTRICAL","31","27","19/04/2023"
